c#type,bothCommentAndArchive,bothDisandKeyInMeta,divCount,externalLinks,forumFreqWordCount,hasBlogWordInMetaData,hasBlogWordInURL,hasCommentBox,hasFeed,hasForumWordInMetaData,hasForumWordInURL,hasMetaDis,hasMetaKeywords,hasPostsArchive,imgCount,imgToParaRatio,intLinkToExtLinkRatio,internalLinks,itemToListRatio,largeImgCount,listCount,listItemCount,orgFreqWordCount,paraCount,rowCount,rowToTableRatio,smallParaCount,tableCount,totLinks,wordCount,wordToParaRatio
orgsite,FALSE,FALSE,40,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0.2,15.67,47,4.5,5,4,18,4,1,0,0,11,0,50,272,272
orgsite,FALSE,TRUE,64,33,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,0,1.24,41,6.4,4,10,64,2,0,0,0,11,0,74,354,0
orgsite,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,4,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,FALSE,13,23,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,0.5,3.74,86,0,10,0,0,3,5,142,3.84,23,37,109,740,148
orgsite,FALSE,TRUE,239,46,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,23,0,4.24,195,3.12,11,60,187,5,0,3,3,47,1,241,1069,0
orgsite,FALSE,FALSE,47,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0.17,0,51,6.29,6,7,44,1,1,2,2,7,1,51,200,200
orgsite,FALSE,FALSE,110,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,0,7.56,136,5,8,24,120,1,0,34,1.79,11,19,154,430,0
orgsite,FALSE,TRUE,164,45,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,1.25,1.09,49,2.47,4,17,42,9,5,2,2,39,1,94,1085,217
orgsite,FALSE,FALSE,240,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0.33,7.45,82,3.56,3,9,32,10,1,4,1,9,4,93,357,357
orgsite,FALSE,TRUE,127,14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,8,0,2.43,34,5.5,7,4,22,2,0,1,1,6,1,48,289,0
orgsite,FALSE,TRUE,20,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,1,1,2,0,2,0,0,1,2,0,0,2,0,4,111,55.5
orgsite,FALSE,TRUE,5,22,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,52,0,4.14,91,10,21,1,10,6,0,75,1.83,35,41,113,887,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,TRUE,9,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,36,0.11,14.88,119,7,35,9,63,2,4,106,2.41,34,44,127,1142,285.5
orgsite,FALSE,FALSE,7,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,140,0.44,5.33,96,0,18,0,0,3,8,204,4.43,27,46,114,971,121.38
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,FALSE,51,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,15,0,26.5,53,3.9,13,10,39,0,0,0,0,15,0,55,268,0
orgsite,FALSE,TRUE,46,117,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,0.11,0,0,6.82,9,11,75,3,1,0,0,23,0,117,517,517
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,FALSE,15,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,0.13,3,12,0,16,0,0,2,2,38,2.71,6,14,16,184,92
orgsite,FALSE,FALSE,6,23,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,75,0.16,1.87,43,0,56,0,0,5,9,113,5.38,26,21,66,1316,146.22
orgsite,FALSE,FALSE,26,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,0.03,3.1,31,0,37,0,0,2,1,76,4.22,8,18,41,281,281
orgsite,FALSE,TRUE,82,85,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3,0,1.2,102,4.77,2,26,124,6,0,0,0,9,0,187,418,0
orgsite,FALSE,TRUE,32,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,20,0,6.67,60,8,16,1,8,2,0,36,2.4,6,15,69,186,0
orgsite,FALSE,FALSE,4,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,0,3.25,52,0,9,0,0,2,0,56,3.5,4,16,68,168,0
orgsite,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
orgsite,FALSE,FALSE,121,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,16,0,6.09,67,6.25,8,4,25,0,0,8,8,21,1,78,367,0
orgsite,FALSE,FALSE,67,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,0,8.94,143,5.25,26,16,84,3,0,47,2.76,11,17,159,464,0
orgsite,FALSE,FALSE,2,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1.14,8,4,4,1,4,0,0,20,2.22,6,9,15,81,0
orgsite,FALSE,TRUE,75,22,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,33,0,10.77,237,6.69,6,26,174,5,0,2,1,31,2,259,839,0
orgsite,FALSE,FALSE,67,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,0,8.94,143,5.25,26,16,84,3,0,47,2.76,11,17,159,464,0
orgsite,FALSE,TRUE,9,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,50,0.09,3.85,50,0,23,0,0,2,2,98,2.51,7,39,63,371,185.5
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
orgsite,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orgsite,FALSE,TRUE,108,185,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,14,0.17,1.13,209,4.05,6,37,150,21,1,8,1,6,8,394,1037,1037
orgsite,FALSE,FALSE,1,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,2,15.5,31,0,2,0,0,2,4,36,2.4,5,15,33,232,58
orgsite,FALSE,TRUE,44,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,0.67,0,37,2.5,3,12,30,2,2,0,0,8,0,37,249,124.5
